country_code,year,debt_to_gdp,current_account_pct_gdp,reserves_months_imports,gdp_growth,inflation,currency_depreciation_pct,political_stability,government_effectiveness,rule_of_law,regulatory_quality,control_of_corruption
EGY,2020,,42.361703467927505,92.10042389736898,6.439496235017465,4.5749909314014285,0.0,59.11949767006332,41.700548499794806,53.43678602072026,56.05481413160085,67.78163767551526
ERI,2020,,,,,,5.627695748263547,57.791074874554326,76.90256472457511,81.60360005173504,97.8651275869529,85.8219194090955
ETH,2020,,40.64586539265898,97.53505396835703,0.0,13.809966608190628,24.430242896330785,71.61321662919036,51.38066018508221,54.976346197483835,62.47584566568495,54.32531583117848
IND,2020,,33.48789799694222,80.71294524285466,30.3765816685037,5.52705486422187,10.50309676962759,48.539801912090645,24.196175798725182,31.601854298731126,42.29457392034921,50.78235016453698
IRN,2020,,,,4.151373711110328,19.984821654336898,5.627695748263547,61.953231542159934,56.88828725591113,61.73869306026051,80.56935740469685,77.66313572401434
IRQ,2020,,41.96042511080469,83.1597183289498,46.43850586170464,1.8784761457375625,6.417163658276014,87.3837520010966,73.90602818744057,79.02081272922898,76.69076773902903,86.1570458419174
ISR,2020,,28.96082427488539,71.67924677291634,20.17431639166743,1.1852128824981518,2.4306995619053837,44.51593322976297,0.0,0.0,0.0,20.652181506991194
JOR,2020,41.64227102987172,45.09104138129372,84.53687700911927,18.50759512474304,1.733198043880083,5.627695748263547,38.59435546349105,34.92272455860396,25.048133139080313,31.893716246303494,38.16782349275367
KWT,2020,,0.0,79.93789204356003,27.911995575465443,2.799817761194295,6.433556626545793,25.412979676617763,37.8420927655295,23.941049570377167,32.55075011281146,47.644997676694
LBN,2020,,51.45164147731338,56.547442408217385,70.46596474170687,52.71752176626171,5.627695748263547,65.61668010754997,62.84139427990073,59.17388271972162,58.112496252668876,81.75307866646062
LBY,2020,,54.04295363893635,0.0,91.13759964121519,2.4049441235527667,4.9872784643324115,88.51315895742454,86.4740053217668,82.06939719970725,100.0,90.81042545845631
LKA,2020,,38.22146409307754,95.62023864707393,27.417232905616345,5.243884128386294,9.202552937319032,32.53982200401918,38.15759404739395,34.49422182057129,40.65649675033863,51.38716239338403
MAR,2020,,37.71771890900773,86.89064333356396,33.97047873662366,1.9579740314134977,4.461108201632009,40.43692013471638,35.656206882090004,37.97927084335401,35.62227311594332,56.88996192013585
MDV,2020,,100.0,94.10466881593845,100.0,0.7060037435941173,5.623010017661715,24.10395352313949,37.70108315056556,38.18257052036669,48.788330115443074,48.055806220261765
NPL,2020,0.0,36.1419016349981,81.41240345413571,21.63075785985126,4.581882067542173,10.380651426925686,36.10592253213285,65.70326942567,40.46408558674114,57.7646236001836,64.83087690389814
OMN,2020,,65.46007528271359,93.7756735712065,24.22286054619559,1.2870546431061163,5.627695748263547,17.314946398832447,33.161545092452144,19.547410081720372,21.955910391284476,41.95789290231889
PAK,2020,,36.07893177721424,94.72152229905647,18.819417595185246,7.406858954898013,12.968094744729333,71.47434703545578,53.28987334630146,54.08492394664866,58.901669380002645,72.37703308342253
PSE,2020,,57.728800737156924,99.12938241122181,44.595146285740825,1.0886632943432102,,75.88073166872587,57.934039422348036,56.773810969601925,39.89723714823194,59.68950772585057
QAT,2020,,39.40860202735875,90.23210466494376,24.679342328377192,0.0,5.627695748263547,6.3518041163867265,9.643781380937801,12.684996393754336,12.784949508754234,14.871893610107865
SAU,2020,,43.81507339017834,57.67912432270781,25.313664718111017,3.566183649516069,5.627695748263547,43.4860024689279,33.887635235416916,35.00520471107405,32.963315492827505,32.59596308725098
SDN,2020,,74.5590096084225,,24.864612724782457,100.0,22.405857346294184,66.68993012370944,77.86093528281751,72.4314499343356,83.71824126210112,86.53717124709868
SOM,2020,,,,22.64423734984038,,,91.81809613908479,95.96874525731303,100.0,95.67221747697245,91.82701798002722
SSD,2020,,98.74227112674183,100.0,,19.430957949413237,10.298289136202447,85.15139598587062,100.0,91.38109906428328,97.71650890739872,100.0
SYR,2020,,,,13.099387167766672,,100.0,92.43568236617354,82.2624899941559,88.67068437528735,88.87874301667577,96.28810241143711
TUN,2020,,46.505316486786626,89.52989107557697,38.58170384899431,4.930373941515735,1.7457054664716996,40.92866479750046,34.74355318885101,27.989378457355425,40.716574992534795,43.19304324144029
TUR,2020,2.7444552171511183,43.28603743163523,93.5560999924343,10.922883226036344,8.938143868954029,27.58040548239709,56.972434535011296,32.595273892357284,50.799153779930215,42.29582677792663,53.0220382546523
YEM,2020,,,,,,54.76024881790485,100.0,94.5098848539655,88.58268987595451,84.00615971769521,93.36689742215938
AFG,2021,,,,100.0,1.595644426715519,,94.05910824872583,86.32820362274211,85.89127577734776,83.02209621170296,80.68604434089893
ARE,2021,,,,56.57842135753438,0.2185866332807746,1.0397844162798386,2.986236862087278,15.045824076855089,17.316743432707117,5.878781984976695,9.051509285842565
BGD,2021,,63.22022723126223,84.9580570841087,52.48226254586723,1.7103098793582172,1.0819909481677703,55.09456510271343,50.9699419729332,60.55553715436043,64.32905260809632,76.7588196765874
BHR,2021,,39.72595417435215,97.42789824836008,56.92652769030791,0.0,1.0397844162798386,40.40200260065368,26.206816099223772,28.281520966553398,13.674629519103298,35.58706050823267
